‘¿ ”À‹“≈“	 ≤À‹ ≤—“‹ ÕŒ¬»Õ ¬≤ƒ 1.1.2018	ƒ¿“¿ Œ—“¿ÕÕ‹ŒØ œ”¡À≤ ¿÷≤Ø
http://bioweb.lnu.edu.ua/news	15	26.06.2018	
26.06.2018	bioweb	1	http://bioweb.lnu.edu.ua/news/zahyst-dysertatsijnyh-robit	
16.06.2018	bioweb	1	http://bioweb.lnu.edu.ua/news/poperednya-prohrama-sympoziumu-z-mizhnarodnoyu-uchastyu-stali-pidhody-do-pidvyschennya-vrozhajnosti-ta-harchovoji-tsinnosti-pshenytsi	
05.06.2018	bioweb	1	http://bioweb.lnu.edu.ua/news/sympozium-iz-mizhnarodnoyu-uchastyu-stali-pidhody-do-pidvyschennya-vrozhajnosti-ta-harchovoji-tsinnosti-pshenytsi-2	
21.05.2018	bioweb	1	http://bioweb.lnu.edu.ua/news/naukova-konferentsiya-stan-i-bioriznomanittya-ekosystem-shatskoho-natsionalnoho-pryrodnoho-parku-ta-inshyh-pryrodoohoronnyh-terytorij	
15.05.2018	bioweb	1	http://bioweb.lnu.edu.ua/news/mizhnarodna-naukova-konferentsiya-profesor-benedykt-dybovskyj-vyznachnyj-doslidnyk-spilnoji-pryrodnoji-spadschyny-polschi-bilorusi-ta-ukrajiny	
23.04.2018	bioweb	1	http://bioweb.lnu.edu.ua/news/xiv-mizhnarodna-naukova-konferentsiya-studentiv-i-aspirantiv-molod-i-postup-biolohiji	
11.04.2018	bioweb	1	http://bioweb.lnu.edu.ua/news/mizhnarodna-naukova-konferentsiya-molod-i-postup-biolohiji	
04.04.2018	bioweb	1	http://bioweb.lnu.edu.ua/news/poperednij-zahyst-kandydatskoji-dysertatsiji	
29.03.2018	bioweb	1	http://bioweb.lnu.edu.ua/news/adaptyvna-evolyutsiya-hlobinovyh-heniv-ta-imunnoji-system-u-slipakiv	
25.03.2018	bioweb	1	http://bioweb.lnu.edu.ua/news/zustrich-z-predstavnykamy-kompaniji-bioprodakshn	
16.03.2018	bioweb	2	http://bioweb.lnu.edu.ua/news/dumy-kobzarya-zhyvut-mizh-namy	
16.03.2018	bioweb	2	http://bioweb.lnu.edu.ua/news/seminar_biblioteka	
14.03.2018	bioweb	2	http://bioweb.lnu.edu.ua/news/frankostore	
13.03.2018	bioweb	2	http://bioweb.lnu.edu.ua/news/21-03-2018-r-vidbudetsya-vchena-rada-biolohichnoho-fakultetu	
22.01.2018	bioweb	2	http://bioweb.lnu.edu.ua/news/17-sichnya-2018-r	
http://geography.lnu.edu.ua/news	65	01.07.2018	
01.07.2018	geography	1	http://geography.lnu.edu.ua/news/zaproshujemo-na-shkolu-seminar-u-chornohori	
28.06.2018	geography	1	http://geography.lnu.edu.ua/news/spysky-studentiv-iz-serednim-dodatkovym-ta-rejtynhovym-balamy	
27.06.2018	geography	1	http://geography.lnu.edu.ua/news/zaproshujemo-do-uchasti-v-tretomu-mizhnarodnomu-seminari-pryrodni-resursy-rehionu-problemy-vykorystannya-revitalizatsiji-ta-ohorony	
27.06.2018	geography	1	http://geography.lnu.edu.ua/news/mizhnarodni-stazhuvannya-studentiv-kafedry-turyzmu-heohrafichnoho-fakultetu-lnu-im-i-franka-u-hretsiji-turechchyni-ta-bolhariji	
20.06.2018	geography	1	http://geography.lnu.edu.ua/news/dodatkovi-baly-studentiv-heohrafichnoho-fakultetu-za-rezultatamy-druhoho-semestru-2017-2018-n-r	
20.06.2018	geography	2	http://geography.lnu.edu.ua/news/14-chervnya-2017-roku-vidbulasya-zustrich-iz-dvorazovym-pidkoryuvachem-everestu-valentynom-sipavinym	
20.06.2018	geography	2	http://geography.lnu.edu.ua/news/hrafiky-provedennya-praktyk-u-2017-2018-n-r	
19.06.2018	geography	2	http://geography.lnu.edu.ua/news/pershe-informatsijne-povidomlennya-hii-mizhnarodnoji-naukovoji-konferentsiji-heohrafiya-ekonomika-i-turyzm-natsionalnyj-ta-mizhnarodnyj-dosvid	
04.06.2018	geography	2	http://geography.lnu.edu.ua/news/ukrajinsko-polskyj-seminar-z-rozvytku-heohrafichnoji-nauky-i-osvity	
01.06.2018	geography	2	http://geography.lnu.edu.ua/news/ponovlyuvana-enerhetyka-na-dotyk	
01.06.2018	geography	3	http://geography.lnu.edu.ua/news/rozklad-zanyat-dlya-studentiv-heohrafichnoho-fakultetu-zaochnoji-formy-navchannya-na-litnyu-sesiyu-2017-2018-n-r	
22.05.2018	geography	3	http://geography.lnu.edu.ua/news/polovi-doslidzhennya-v-mezhah-horhan	
22.05.2018	geography	3	http://geography.lnu.edu.ua/news/na-heohrafichnomu-fakulteti-provedeno-xix-u-fakultetsku-studentsku-naukovu-konferentsiyu-realiji-problemy-ta-perspektyvy-rozvytku-heohrafiji-v-ukrajini	
15.05.2018	geography	3	http://geography.lnu.edu.ua/news/pokaz-filmu-evakujovani-nazavzhdy	
15.05.2018	geography	3	http://geography.lnu.edu.ua/news/studentska-naukova-konferentsiya-realiji-problemy-ta-perspektyvy-heohrafiji-v-ukrajini	
15.05.2018	geography	4	http://geography.lnu.edu.ua/news/vidbulysya-dni-ekoloha-pershokursnyka	
15.05.2018	geography	4	http://geography.lnu.edu.ua/news/konferentsiya-trudovoho-kolektyvu-heohrafichnoho-fakultetu	
14.05.2018	geography	4	http://geography.lnu.edu.ua/news/vidbudetsya-konferentsiya-u-yavorivskomu-natsionalnomu-pryrodnomu-parku	
14.05.2018	geography	4	http://geography.lnu.edu.ua/news/landshaftno-krajeznavcha-ekspedytsiya-slidamy-davnoho-zledeninnya	
14.05.2018	geography	4	http://geography.lnu.edu.ua/news/lektsiya-zaviduvacha-laboratorijeyu-kafedry-turyzmu-lnu-im-ivana-franka-t-zavadovskoho-herby-v-arhitekturi-lvova-v-ramkah-proektu-arhitektura-lvova	
10.05.2018	geography	5	http://geography.lnu.edu.ua/news/ekskursiya-zaviduvacha-navchalnoji-laboratoriji-turystychna-ahentsiya-v-ramkah-proektu-arhitektura-lvova	
07.05.2018	geography	5	http://geography.lnu.edu.ua/news/vidbuvsya-iv-vseukrajinskyj-konhres-molodyh-heohrafiv	
07.05.2018	geography	5	http://geography.lnu.edu.ua/news/vedmezha-ekolohichna-aktsiya-heohrafiv	
07.05.2018	geography	5	http://geography.lnu.edu.ua/news/znanyj-shvedskyj-naukovets-anders-persson-u-lvovi	
07.05.2018	geography	5	http://geography.lnu.edu.ua/news/hrafik-ispytiv-na-litnyu-sesiyu-2017-2018	
07.05.2018	geography	6	http://geography.lnu.edu.ua/news/vidbulasya-zustrich-z-avtorom-istorychnoho-romanu-rozbrat-romanom-korytkom	
03.05.2018	geography	6	http://geography.lnu.edu.ua/news/studentka-heohrafichnoho-fakultetu-alina-alonzova-sered-peremozhtsiv-profesijnoho-konkursu-vid-natsionalnoho-turoperatora-tpg	
02.05.2018	geography	6	http://geography.lnu.edu.ua/news/uvaha-aktsiya	
02.05.2018	geography	6	http://geography.lnu.edu.ua/news/lektsiya-dotsenta-kafedry-turyzmu-o-bordun-dlya-mizhnarodnyh-palomnykiv	
02.05.2018	geography	6	http://geography.lnu.edu.ua/news/zustrich-administratsiji-vykladachiv-ta-studentiv-kafedry-turyzmu-iz-predstavnykom-mizhnarodnoho-turystychnoho-operatora-po-bronyuvannyu-travelport	
27.04.2018	geography	7	http://geography.lnu.edu.ua/news/26-kvitnya-2018-r-vidbulasya-studentska-naukova-konferentsiya-na-temu-suspilno-heohrafichni-ta-heoekonomichni-problemy-prostorovoho-rozvytku-rehioniv	
27.04.2018	geography	7	http://geography.lnu.edu.ua/news/hrafik-provedennya-zamiriv-znan	
25.04.2018	geography	7	http://geography.lnu.edu.ua/news/navchalno-piznavalna-pojizdka-studentiv-heohrafiv	
23.04.2018	geography	7	http://geography.lnu.edu.ua/news/provedeno-tseremoniyu-nahorodzhennya-futzalnyh-komand-sezonu-2017-2018	
20.04.2018	geography	7	http://geography.lnu.edu.ua/news/vidkryta-lektsiya-elbakidze-marine-swedish-university-of-agricultural-sciences	
20.04.2018	geography	8	http://geography.lnu.edu.ua/news/vidbuvsya-seminar-naukovo-metodychnyj-pidhid-do-realizatsiji-kompetentnisnoho-potentsialu-shkilnoji-heohrafiji	
20.04.2018	geography	8	http://geography.lnu.edu.ua/news/vitajemo-studentku-iv-kursu-martu-bilanyuk-z-pershym-mistsem-na-vseukrajinskij-studentskij-olimpiadi-z-heohrafiji	
18.04.2018	geography	8	http://geography.lnu.edu.ua/news/vitajemo-studenta-5-kursu-hrupy-hrom-52-kafedry-heohrafiji-ukrajiny-morhatskoho-vladyslava	
17.04.2018	geography	8	http://geography.lnu.edu.ua/news/u-varshavskomu-universyteti-polscha-vidbuvsya-konhres-polskoji-heohrafiji-prysvyachenyj-100-richchyu-polskoho-heohrafichnoho-tovarystva-polskiego-towarzystwa-geograficznego-i-100-richchyu-heohraf	
17.04.2018	geography	8	http://geography.lnu.edu.ua/news/vidbudetsya-vidkryta-lektsiya-elbakidze-m-m	
13.04.2018	geography	9	http://geography.lnu.edu.ua/news/studenty-hre-31-vidvidaly-narodnyj-muzej-metrolohiji-ta-vymiryuvalnoji-tehniky	
11.04.2018	geography	9	http://geography.lnu.edu.ua/news/pryvitannya-pratsivnykiv-kafedry-turyzmu-dlya-koleh-z-nahody-15-richchya-z-dnya-zasnuvannya-kafedry	
07.04.2018	geography	9	http://geography.lnu.edu.ua/news/hrystos-voskres-2	
04.04.2018	geography	9	http://geography.lnu.edu.ua/news/u-subotu-31-bereznya-vidbuvsya-v-futzalnyj-turnir-imeni-heroya-ukrajiny-ihora-kostenka	
04.04.2018	geography	9	http://geography.lnu.edu.ua/news/pamyati-yaroslava-homyna	
04.04.2018	geography	10	http://geography.lnu.edu.ua/news/dotsent-kafedry-turyzmu-stala-koordynatorom-koordynatsijnoho-tsentru-mizhnarodnoho-dialohu-ukrajiny-es	
03.04.2018	geography	10	http://geography.lnu.edu.ua/news/blahodijnyj-zahid-vid-pratsivnykiv-kafedry-turyzmu-dlya-verhno-synovydnenskoji-shkoly-internatu-nadiya	
02.04.2018	geography	10	http://geography.lnu.edu.ua/news/ekskursiya-u-laboratoriji-fizyko-himichnyh-analiziv-gruntiv-kafedry-gruntoznavstva-i-heohrafiji-gruntiv	
28.03.2018	geography	10	http://geography.lnu.edu.ua/news/vidbudetsya-v-turnir-pamyati-heroya-nebesnoji-sotni-ihora-kostenka	
23.03.2018	geography	10	http://geography.lnu.edu.ua/news/plan-roboty-naukovoho-seminaru-kafedry-konstruktyvnoji-heohrafiji-i-kartohrafiji-na-ii-semestr-2017-2018-n-r	
23.03.2018	geography	11	http://geography.lnu.edu.ua/news/perelik-vybirkovyh-dystsyplin	
05.03.2018	geography	11	http://geography.lnu.edu.ua/news/doslidzhennya-pratsivnykamy-kafedry-fizychnoji-heohrafiji-proektovanoho-zakaznyka-bilohorscha	
03.03.2018	geography	11	http://geography.lnu.edu.ua/news/informatsiya-pro-vymusheni-kanikuly	
02.03.2018	geography	11	http://geography.lnu.edu.ua/news/studenty-kafedry-turyzmu-vzyaly-uchast-u-brejn-rynhu-na-jevropejsku-tematyku-vid-predstavnytstva-es-v-ukrajini	
01.03.2018	geography	11	http://geography.lnu.edu.ua/news/pryznachennya-premiji-heroya-nebesnoji-sotni-ihorya-kostenka-dlya-studentiv-heohrafichnoho-fakultetu	
27.02.2018	geography	12	http://geography.lnu.edu.ua/news/oholoshujetsya-pryjom-statej-do-zbirnyka-naukovyh-prats-problemy-heomorfolohiji-i-paleoheohrafiji-ukrajinskyh-karpat-i-prylehlyh-terytorij-vyp-8	
26.02.2018	geography	12	http://geography.lnu.edu.ua/news/universytetska-fotovystavka-yaka-prysvyachena-podiyam-evromajdanu-ta-revolyutsiji-hidnosti	
24.02.2018	geography	12	http://geography.lnu.edu.ua/news/vidijshov-u-vichnist-dotsent-kafedry-heomorfolohiji-ta-paleoheohrafiji-kolyshnij-dekan-fakultetu-yaroslav-homyn	
21.02.2018	geography	12	http://geography.lnu.edu.ua/news/na-heohrafichnomu-fakulteti-universytetu-vidkryly-pamyatnyk-herojevi-nebesnoji-sotni-ihoryu-kostenku	
21.02.2018	geography	12	http://geography.lnu.edu.ua/news/zaviduvach-kafedry-turyzmu-vzyala-uchast-u-konferentsiji-evropa-karpat	
16.02.2018	geography	13	http://geography.lnu.edu.ua/news/rejtynh-studentiv-heohrafichnoho-fakultetu-yakym-pryznacheno-akademichnu-stypendiyu	
15.02.2018	geography	13	http://geography.lnu.edu.ua/news/kafedra-turyzmu-vzyala-uchast-u-zviti-upravlinnya-turyzmu-ta-kurortiv-lvivskoji-oda	
14.02.2018	geography	13	http://geography.lnu.edu.ua/news/vidkryttya-pamyatnyka-ihoryu-kostenku	
12.02.2018	geography	13	http://geography.lnu.edu.ua/news/tretya-zymova-shkola-z-ekstremalnoho-turyzmu	
09.02.2018	geography	13	http://geography.lnu.edu.ua/news/zyavylys-vakantni-mistsya-derzhzamovlennya-2	
http://geology.lnu.edu.ua/news	12	13.06.2018	
13.06.2018	geology	1	http://geology.lnu.edu.ua/news/konferentsiya-lnu-kaf-fizyky-zemli-11-13-zhovtnya-2018-r	
13.06.2018	geology	1	http://geology.lnu.edu.ua/news/konferentsiya-suchasni-tehnolohiji-ta-osoblyvosti-vydobutku-obrobky-i-vykorystannya-pryrodnoho-kaminnya	
13.06.2018	geology	1	http://geology.lnu.edu.ua/news/naukova-konferentsiya-prysvyachena-100-richnym-yuvileyam	
08.05.2018	geology	1	http://geology.lnu.edu.ua/news/rozklad-ispytiv	
25.04.2018	geology	1	http://geology.lnu.edu.ua/news/26-28-kvitnya-2018-iii-mizhnarodna-naukovo-praktychna-konferentsiya	
20.04.2018	geology	2	http://geology.lnu.edu.ua/news/memorandum-pro-spivpratsyu-u-sferi-rozvytku-naftohazovoji-promyslovosti	
20.04.2018	geology	2	http://geology.lnu.edu.ua/news/urochysta-akademiya-prysvyachena-pamyati-alberta-sivoronova	
